MesReferencia,Consumo Ativo TUSD,Energia Injetada
01JAN2018,36548836.0,34370.0
01FEB2018,35336507.0,37377.0
01MAR2018,34552931.0,46095.0
01APR2018,33285934.0,36679.0
01MAY2018,32151965.0,32761.0
01JUN2018,31385145.0,37235.0
01JUL2018,33156036.0,30305.0
01AUG2018,32636310.0,44901.0
01SEP2018,31903007.0,62129.0
01OCT2018,32554131.0,62931.0
01NOV2018,33468193.0,91343.0
01DEC2018,33747537.0,113774.0
01JAN2019,39086315.0,101221.0
01FEB2019,40315315.0,125304.0
01MAR2019,34284075.0,126644.0
01APR2019,34075170.0,127667.0
01MAY2019,32631435.0,86743.0
01JUN2019,31723322.0,76153.0
01JUL2019,32781427.0,118870.0
01AUG2019,32799820.0,137171.0
01SEP2019,32859667.0,176977.0
01OCT2019,33906721.0,194864.0
01NOV2019,34240540.0,201923.0
01DEC2019,35091722.0,288150.0
01JAN2020,41768896.0,342525.0
01FEB2020,39715712.0,317546.0
01MAR2020,37268925.0,373527.0
01APR2020,34863267.0,367275.0
01MAY2020,31746525.0,324729.0
01JUN2020,33473669.0,264790.0
01JUL2020,34236513.0,199313.0
01AUG2020,35162370.0,357832.0
01SEP2020,35840820.0,339092.0
01OCT2020,34310557.0,433312.0
01NOV2020,37739253.0,625696.0
01DEC2020,38673081.0,597034.0
01JAN2021,43675901.0,828099.0
01FEB2021,39447092.0,675509.0
01MAR2021,37907402.0,791641.0
01APR2021,36120455.0,759604.0
01MAY2021,32924715.0,725943.0
01JUN2021,33384549.0,596762.0
01JUL2021,35294372.0,567091.0
01AUG2021,35600573.0,791252.0
01SEP2021,34729974.0,824940.0
01OCT2021,34044403.0,943360.0
01NOV2021,35709104.0,1524188.0
01DEC2021,35877221.0,1587446.0
01JAN2022,42925364.0,1867715.0
01FEB2022,42194590.0,1698560.0
01MAR2022,39161531.0,1463632.0
01APR2022,33486598.0,1458639.0
01MAY2022,33165817.0,1269078.0
01JUN2022,35569886.0,1179902.0
01JUL2022,35364518.0,1096501.0
01AUG2022,35655826.0,1494831.0
01SEP2022,35172003.0,2531842.0
01OCT2022,34280211.0,2526359.0
01NOV2022,34258650.0,3272328.0
01DEC2022,38024450.0,3585337.0
01JAN2023,41249286.0,4146893.0
01FEB2023,43352706.0,3649808.0
01MAR2023,39827960.0,3282087.0
01APR2023,36971162.0,3523404.0
01MAY2023,32883797.0,2628413.0
01JUN2023,32790629.0,2560113.0
01JUL2023,32790944.0,1939580.0
01AUG2023,32609752.0,2794306.0
01SEP2023,32454170.0,3390260.0
01OCT2023,32519083.0,2827557.0
01NOV2023,32417865.0,3233458.0
01DEC2023,34494355.0,3545033.0
